TransactionID,Age,Gender,State,Bank,AccountType,TransactionAmount,AccountBalance,NumTransactionsDay,TransactionHour,TransactionDay,Channel,LocationMatch,DeviceKnown,PrevFraudFlag,AccountAgeMonths,FailedAttempts,InternationalTransaction,AmountToBalanceRatio,IsFraud,n_TransactionAmount,n_AccountBalance,UnusualTransactionHour,AgeTransactionsRatio,RedFlag_Attempt,AmountToBalance_nRatio
TXN0000001,56,Female,Lagos,GTBank,Savings,49192.56,145585.3,3,5,Sunday,Pos,Yes,No,0,10.0,1,No,0.3379,No,10.8035,11.8885,Normal,0.2727,1,0.9087
TXN0000002,69,Male,Enugu,Zenith,Savings,16562.54,187188.52,2,1,Tuesday,Pos,Yes,Yes,0,71.0,2,Yes,0.0885,No,9.715,12.1399,RedFlag,0.0278,2,0.8003
TXN0000003,46,Female,Enugu,Polaris,Savings,25940.01,245464.54,4,8,Sunday,Mobile,Yes,Yes,1,1.0,0,No,0.1057,No,10.1636,12.4109,Normal,2.0,1,0.8189
TXN0000004,32,Female,Rivers,Sterling,Current,1398.62,14523.0,1,20,Tuesday,Transfer,Yes,No,0,58.0,0,No,0.0963,No,7.244,9.5836,Normal,0.0169,0,0.7559
TXN0000005,60,Female,Bauchi,Polaris,Savings,56231.54,176931.34,5,10,Monday,Online,Yes,No,0,1.0,0,No,0.3178,No,10.9373,12.0835,Normal,2.5,0,0.9051
TXN0000006,25,Female,Abuja,Fidelity,Domiciliary,9908.27,253441.18,4,23,Monday,Atm,Yes,Yes,0,37.0,0,No,0.0391,No,9.2012,12.4429,RedFlag,0.1053,0,0.7395
TXN0000007,38,Female,Lagos,FirstBank,Current,25006.84,6258.64,2,23,Tuesday,Mobile,Yes,Yes,0,17.0,0,No,3.9956,No,10.1269,8.7419,RedFlag,0.1111,0,1.1584
TXN0000008,56,Female,Kano,Stanbic,Savings,24981.26,52871.11,1,4,Tuesday,Mobile,Yes,Yes,0,46.0,1,No,0.4725,No,10.1259,10.8756,RedFlag,0.0213,1,0.9311
TXN0000009,36,Male,Enugu,FCMB,Current,41587.56,58736.91,1,17,Friday,Mobile,Yes,Yes,1,68.0,0,No,0.708,No,10.6356,10.9808,Normal,0.0145,1,0.9686
TXN0000010,40,Female,Bauchi,FirstBank,Domiciliary,25382.33,289221.85,1,10,Sunday,Pos,Yes,Yes,0,13.0,0,No,0.0878,No,10.1418,12.575,Normal,0.0714,0,0.8065
TXN0000011,28,Male,Abuja,FCMB,Domiciliary,30401.79,227358.94,2,12,Tuesday,Online,Yes,Yes,0,41.0,1,No,0.1337,No,10.3223,12.3343,Normal,0.0476,1,0.8369
TXN0000012,28,Female,Kaduna,UBA,Current,63427.68,160250.94,3,10,Saturday,Pos,Yes,No,0,82.0,1,No,0.3958,No,11.0577,11.9845,Normal,0.0361,1,0.9227
TXN0000013,41,Male,Kano,FirstBank,Savings,41795.23,245000.57,3,5,Tuesday,Pos,Yes,No,0,35.0,0,No,0.1706,No,10.6406,12.409,Normal,0.0833,0,0.8575
TXN0000014,70,Female,Oyo,GTBank,Domiciliary,23531.18,90613.85,6,20,Wednesday,Atm,Yes,Yes,0,14.0,0,No,0.2597,No,10.0661,11.4144,Normal,0.4,0,0.8819
TXN0000015,53,Male,Bauchi,Fidelity,Current,26875.03,311773.01,1,15,Sunday,Atm,No,Yes,0,28.0,0,No,0.0862,No,10.199,12.65,Normal,0.0345,0,0.8062
TXN0000016,57,Female,Kano,Zenith,Savings,3982.76,40028.24,1,18,Thursday,Atm,Yes,Yes,0,15.0,0,Yes,0.0995,No,8.29,10.5974,Normal,0.0625,0,0.7823
TXN0000017,41,Male,Lagos,Stanbic,Current,15879.87,182902.0,2,13,Thursday,Pos,No,No,0,45.0,1,Yes,0.0868,Yes,9.6729,12.1167,Normal,0.0435,1,0.7983
TXN0000018,20,Female,Oyo,Access,Savings,8952.53,41511.55,1,8,Tuesday,Transfer,Yes,Yes,0,30.0,1,No,0.2157,No,9.0998,10.6338,Normal,0.0323,1,0.8557
TXN0000019,39,Female,Lagos,Fidelity,Current,14139.55,6101.73,6,22,Friday,Transfer,Yes,Yes,0,72.0,0,Yes,2.3173,No,9.5568,8.7165,RedFlag,0.0822,0,1.0964
TXN0000020,70,Male,Anambra,GTBank,Savings,27136.0,50142.95,6,12,Wednesday,Mobile,Yes,Yes,0,31.0,0,No,0.5412,No,10.2087,10.8227,Normal,0.1875,0,0.9433
TXN0000021,19,Male,Enugu,FCMB,Savings,4038.02,101859.08,4,13,Tuesday,Transfer,Yes,No,0,1.0,1,No,0.0396,No,8.3038,11.5314,Normal,2.0,1,0.7201
TXN0000022,41,Female,Abuja,FirstBank,Domiciliary,438.22,278143.58,4,3,Wednesday,Atm,Yes,No,0,23.0,0,No,0.0016,No,6.085,12.5359,RedFlag,0.1667,0,0.4854
TXN0000023,61,Female,Bauchi,Sterling,Savings,12642.82,106652.84,2,2,Monday,Atm,No,Yes,1,58.0,0,No,0.1185,No,9.4449,11.5773,RedFlag,0.0339,1,0.8158
TXN0000024,47,Female,Oyo,Stanbic,Domiciliary,9722.0,29612.34,4,1,Sunday,Atm,Yes,No,0,32.0,0,Yes,0.3283,No,9.1822,10.296,RedFlag,0.1212,0,0.8918
TXN0000025,55,Male,Enugu,FCMB,Savings,13636.81,456776.76,5,20,Friday,Mobile,Yes,Yes,0,30.0,0,No,0.0299,No,9.5206,13.032,Normal,0.1613,0,0.7306
TXN0000026,19,Female,Rivers,FCMB,Savings,66921.39,47221.63,2,16,Thursday,Mobile,No,Yes,0,16.0,0,No,1.4172,No,11.1113,10.7626,Normal,0.1176,0,1.0324
TXN0000027,38,Female,Lagos,Sterling,Current,30696.74,456776.76,5,5,Wednesday,Online,No,No,0,34.0,0,No,0.0672,No,10.3319,13.032,Normal,0.1429,0,0.7928
TXN0000028,50,Male,Anambra,UBA,Current,9917.3,413117.3,2,1,Saturday,Atm,No,Yes,0,1.0,0,No,0.024,No,9.2021,12.9315,RedFlag,1.0,0,0.7116
TXN0000029,29,Male,Lagos,UBA,Current,4939.3,117277.58,2,11,Saturday,Online,Yes,Yes,0,74.0,0,No,0.0421,No,8.5052,11.6723,Normal,0.0267,0,0.7287
TXN0000030,39,Male,Kano,Sterling,Current,24089.69,14470.54,1,11,Tuesday,Online,Yes,No,0,52.0,0,No,1.6647,No,10.0896,9.5799,Normal,0.0189,0,1.0532
TXN0000031,61,Male,Kaduna,Polaris,Domiciliary,26792.66,178320.67,3,20,Monday,Atm,Yes,Yes,0,42.0,0,No,0.1502,No,10.1959,12.0913,Normal,0.0698,0,0.8432
TXN0000032,42,Male,Anambra,Sterling,Domiciliary,16522.94,280345.65,5,17,Friday,Transfer,Yes,No,0,11.0,0,No,0.0589,No,9.7126,12.5438,Normal,0.4167,0,0.7743
TXN0000033,66,Female,Anambra,Stanbic,Savings,5980.58,88399.48,1,3,Sunday,Atm,Yes,Yes,0,53.0,0,No,0.0677,No,8.6964,11.3896,RedFlag,0.0185,0,0.7635
TXN0000034,44,Female,Abuja,UBA,Savings,724.27,40976.26,3,5,Saturday,Online,No,Yes,0,61.0,0,Yes,0.0177,No,6.5865,10.6208,Normal,0.0484,0,0.6202
TXN0000035,59,Male,Bauchi,UBA,Savings,7719.6,243548.91,4,19,Wednesday,Online,Yes,Yes,0,96.0,0,No,0.0317,No,8.9516,12.4031,Normal,0.0412,0,0.7217
TXN0000036,45,Male,Rivers,Polaris,Savings,15274.0,118144.34,3,20,Monday,Transfer,Yes,No,0,23.0,1,No,0.1293,No,9.634,11.6797,Normal,0.125,1,0.8248
TXN0000037,33,Male,Rivers,FCMB,Current,38771.48,33027.82,1,19,Saturday,Mobile,No,No,0,35.0,0,No,1.1739,Yes,10.5655,10.4051,Normal,0.0278,0,1.0154
TXN0000038,32,Female,Abuja,Sterling,Savings,48061.6,447982.11,1,19,Wednesday,Pos,Yes,No,0,58.0,0,No,0.1073,No,10.7803,13.0125,Normal,0.0169,0,0.8285
TXN0000039,64,Female,Lagos,Zenith,Savings,13315.47,443760.35,2,18,Wednesday,Pos,No,No,0,28.0,0,No,0.03,No,9.4968,13.003,Normal,0.069,0,0.7304
TXN0000040,68,Female,Delta,Stanbic,Current,39756.09,68604.5,1,2,Sunday,Atm,Yes,Yes,0,1.0,0,No,0.5795,No,10.5905,11.1361,RedFlag,0.5,0,0.951
TXN0000041,61,Female,Enugu,GTBank,Savings,77103.44,9921.47,8,19,Wednesday,Online,Yes,Yes,0,39.0,2,Yes,7.7714,No,11.2529,9.2026,Normal,0.2,2,1.2228
TXN0000042,72,Female,Delta,FirstBank,Current,31523.31,149457.86,5,7,Friday,Online,Yes,Yes,0,28.0,0,No,0.2109,No,10.3585,11.9148,Normal,0.1724,0,0.8694
TXN0000043,69,Male,Kano,Fidelity,Current,32603.95,57238.87,1,20,Friday,Pos,No,Yes,0,15.0,1,No,0.5696,No,10.3922,10.955,Normal,0.0625,1,0.9486
TXN0000044,74,Male,Rivers,FCMB,Savings,60070.22,10298.89,4,15,Thursday,Online,Yes,No,0,27.0,0,No,5.8327,No,11.0033,9.2399,Normal,0.1429,0,1.1908
