TransactionID,Age,Gender,State,Bank,AccountType,TransactionAmount,AccountBalance,NumTransactionsDay,TransactionHour,TransactionDay,Channel,LocationMatch,DeviceKnown,PrevFraudFlag,AccountAgeMonths,FailedAttempts,InternationalTransaction,AmountToBalanceRatio,IsFraud
TXN0000001,56.0,F,Lagos,GTBank,Savings,49192.56,145585.3,3,5,Sunday,POS,1,No,0,10,1,No,0.3379,false
TXN0000002,69.0,Male,Enugu,Zenith,Savings,16562.54,187188.52,2,1,Tuesday,POS,Yes,Yes,0,71,2,yes,0.0885,0
TXN0000003,46.0,Female,Enugu,Polaris,Savings,25940.01,"₦245,464.54",4,8,Sunday,Mobile,Yes,Yes,1,1,0,0,0.1057,False
TXN0000004,32.0,f,Rivers,Sterling,Current,1398.62,14523.0,1,20,Tuesday,Transfer,Yes,No,0,58,0,No,0.0963,CLEAN
TXN0000005,60.0,F,Bauchi,Polaris,Savings,56231.54,176931.34,5,10,Monday,Online,Yes,No,0,1,0,No,0.3178,0
TXN0000006,25.0,Female,Abuja,Fidelity,Domiciliary,9908.27,253441.18,4,23,Monday,ATM,Yes,yes,0,37,0,No,0.0391,Clean
TXN0000007,38.0,f,Lagos,FirstBank,Current,25006.84,6258.64,2,23,Tuesday,Mobile,Yes,Yes,0,17,0,No,3.9949,NO
TXN0000008,56.0,f,Kano,Stanbic,Savings,,52871.11,1,4,Tuesday,Mobile,Yes,Yes,0,46,1,No,1.1715,no
TXN0000009,36.0,M,Enugu,FCMB,Current,41587.56,58736.91,1,17,Friday,Mobile,Yes,Yes,1,68,0,No,0.708,No
TXN0000010,40.0,Female,Bauchi,FirstBank,DOM,25382.33,289221.85,1,10,Sunday,POS,Yes,Yes,0,13,0,No,0.0878,No
TXN0000011,28.0,MALE,Abuja,FCMB,Domiciliary,30401.79,227358.94,2,12,Tuesday,Online,Yes,Yes,0,41,1,No,0.1337,Clean
TXN0000012,28.0,female,Kaduna,UBA,Current,63427.68,160250.94,3,10,Saturday,POS,Yes,No,0,82,1,no,0.3958,false
TXN0000013,41.0,male,Kano,FirstBank,savings,41795.23,245000.57,3,5,Tuesday,POS,Yes,No,0,35,0,No,0.1706,CLEAN
TXN0000014,70.0,FEMALE,Oyo,GTBank,Domiciliary,23531.18,90613.85,6,20,Wednesday,ATM,Yes,Yes,0,14,0,No,0.2597,False
TXN0000015,53.0,male,Bauchi,Fidelity,current,26875.03,311773.01,1,15,Sunday,ATM,No,Yes,0,28,0,No,0.0862,False
